Title,Release Date,Genre,Number of Discs,Price Tier,Type,Summary,
R.I.P.D,19-Jul-13,Action/Comedy/Crime,1,1,Movie,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,a062
Rise of the Guardians,21-Nov-12,Animation/Adventure/Family,1,1,Movie,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",a063
Robot & Frank,12-Sep-12,Comedy/Crime/Drama,1,1,Movie,"Set in the near future, an ex-jewel thief receives a gift from his son: a robot butler programmed to look after him. But soon the two companions try their luck as a heist team.",a064
Safe Haven,14-Feb-13,Drama/Mystery/Romance,1,1,Movie,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.",a065
Scandal: Season 1,5-Apr-12,Drama/Romance,2,2,TV Series,"Olivia Pope (Kerry Washington) is a former White House Communications Director for the president, but has left to start her own crisis management firm, Olivia Pope and Associates. She is hoping to begin a new chapter of her life, but….",a066
Seven Psychopaths,12-Oct-12,Comedy/Crime/Thriller,1,1,Movie,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,a067
Shaun T's Insanity Workout Series,1-Jan-10,Exercise/Fitness,2,2,Other,"Insanity is a workout regimen similar to P90X in that it claims to improve fitness in 60 days through strenuous stamina training. Developed by Shaun T., Insanity's advertising emphasizes ""max interval training"". 10 workout videos.",a068
Side Effects,8-Feb-13,Crime/Drama/Thriller,1,1,Movie,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,a069
Silver Linings Playbook,25-Dec-12,Comedy/Drama/Romance,1,1,Movie,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",a070
Sinister,12-Oct-12,Horror/Mystery/Thriller,1,1,Movie,A true-crime writer finds a cache of 8mm home movies films that suggest the murder he is currently researching is the work of a serial killer whose career dates back to the 1960s.,a071
Skyfall,9-Nov-12,Action/Adventure/Thriller,1,1,Movie,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",a072
Snitch,22-Feb-13,Drama/Thriller,1,1,Movie,A father goes undercover for the DEA in order to free his son who was imprisoned after being set up in drug deal.,a073
Snow White and the Huntsman,1-Jun-12,Adventure/Drama/Fantasy,1,1,Movie,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",a074
Sons of Anarachy: Season 5,11-Sep-12,Drama/Action/Crime,2,2,TV Series,"Following the death of Veronica Pope, the Niners attack SAMCRO and ambush one of their cargo. The growing conflict along with several home invasions to people linked to the Club make Jax attempt to deal with Damon Pope. Bobby is released by….",a075
"Spartacus: Mini-Series ""Gods of the Arena""",21-Jan-11,Action/Adventure,2,2,TV Series,Watch the story of history's greatest gladiator unfold with graphic violence and explicit sex. This is Spartacus.,a076
"Spartacus: Season 1 ""Blood And Sand""",22-Jan-10,Action/Adventure,2,2,TV Series,Watch the story of history's greatest gladiator unfold with graphic violence and explicit sex. This is Spartacus.,a077
"Spartacus: Season 2 ""Vengeance""",27-Jan-12,Action/Adventure,2,2,TV Series,Watch the story of history's greatest gladiator unfold with graphic violence and explicit sex. This is Spartacus.,a078
"Spartacus: Season 3 ""War of the Damned""",25-Jan-13,Action/Adventure/Biography,2,2,TV Series,Watch the story of history's greatest gladiator unfold with graphic violence and explicit sex. This is Spartacus.,a079
Spring Breakers,22-Mar-13,Drama,1,1,Movie,Four college girls who land in jail after robbing a restaurant in order to fund their spring break vacation find themselves bailed out by a drug and arms dealer who wants them to do some dirty work.,a080
Taken 2,5-Oct-12,Action/Crime/Thriller,1,1,Movie,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",a081
Ted,29-Jun-12,Comedy/Fantasy,1,1,Movie,"As the result of a childhood wish, John Bennett's teddy bear, Ted, came to life and has been by John's side ever since - a friendship that's tested when Lori, John's girlfriend of four years, wants more from their relationship.",a082
Texas Chainsaw 3D,4-Jan-13,Horror/Thriller,1,1,Movie,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.,a083
The Boondocks: Season 1,6-Nov-05,Animation/Comedy,2,2,TV Series,"The Boondocks follows the adventures of the Freemans, an African-American family, having moved from the South Side of Chicago, Illinois to the fictional, peaceful and mostly white suburb of Woodcrest.",a084
The Boondocks: Season 2,8-Oct-07,Animation/Comedy,2,2,TV Series,"The Boondocks follows the adventures of the Freemans, an African-American family, having moved from the South Side of Chicago, Illinois to the fictional, peaceful and mostly white suburb of Woodcrest.",a085
The Boondocks: Season 3,2-May-10,Animation/Comedy,2,2,TV Series,"The Boondocks follows the adventures of the Freemans, an African-American family, having moved from the South Side of Chicago, Illinois to the fictional, peaceful and mostly white suburb of Woodcrest.",a086
The Call,15-Mar-13,Crime/Thriller,1,1,Movie,"When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.",a087
The Colony,20-Sep-13,Action/Sci-Fi/Thriller,1,1,Movie,"Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.",a088
The Conjuring,19-Jul-13,Horror/Thriller,1,1,Movie,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,a089
